校下・地区,センター,燃せるごみ,缶・びん・ペットボトル,容器包装プラスチック,不燃ごみ,
安針台,,月 木,火,水,金1 金3,
浦郷町,,月 木,火,水,金1 金3,
追浜町,,月 木,火,水,金1 金3,
追浜東町,,月 木,火,水,金1 金3,
追浜本町,,月 木,火,水,金1 金3,
追浜南町,,月 木,火,水,金1 金3,
湘南鷹取,,月 木,火,水,金1 金3,
田浦泉町,,月 木,火,水,金1 金3,
田浦大作町,,月 木,火,水,金1 金3,
田浦町,,月 木,火,水,金1 金3,
田浦港町,,月 木,火,水,金1 金3,
鷹取,,月 木,火,水,金1 金3,
長浦町,,月 木,火,水,金1 金3,
夏島町,,月 木,火,水,金1 金3,
西逸見町,,月 木,火,水,金1 金3,
浜見台,,月 木,火,水,金1 金3,
東逸見町,,月 木,火,水,金1 金3,
船越町,,月 木,火,水,金1 金3,
逸見が丘,,月 木,火,水,金1 金3,
港が丘,,月 木,火,水,金1 金3,
吉倉町,,月 木,火,水,金1 金3,
稲岡町,,火 金,月,木,水1 水3,
不入斗町,,火 金,月,木,水1 水3,
上町,,火 金,月,木,水1 水3,
大滝町,,火 金,月,木,水1 水3,
小川町,,火 金,月,木,水1 水3,
坂本町,,火 金,月,木,水1 水3,
佐野町,,火 金,月,木,水1 水3,
汐入町,,火 金,月,木,水1 水3,
汐見台,,火 金,月,木,水1 水3,
田戸台,,火 金,月,木,水1 水3,
鶴が丘,,火 金,月,木,水1 水3,
日の出町,,火 金,月,木,水1 水3,
深田台,,火 金,月,木,水1 水3,
富士見町,,火 金,月,木,水1 水3,
平成町,,火 金,月,木,水1 水3,
平和台,,火 金,月,木,水1 水3,
本町,,火 金,月,木,水1 水3,
望洋台,,火 金,月,木,水1 水3,
緑が丘,,火 金,月,木,水1 水3,
三春町,,火 金,月,木,水1 水3,
安浦町,,火 金,月,木,水1 水3,
米が浜通,,火 金,月,木,水1 水3,
若松町,,火 金,月,木,水1 水3,
阿部倉,,月 木,金,火,水2 水4,
池上,,月 木,金,火,水2 水4,
池田町,,月 木,金,火,水2 水4,
浦賀,,月 木,金,火,水2 水4,
浦賀丘,,月 木,金,火,水2 水4,
浦上台,,月 木,金,火,水2 水4,
大津町,,月 木,金,火,水2 水4,
大矢部,,月 木,金,火,水2 水4,
小原台,,月 木,金,火,水2 水4,
金谷,,月 木,金,火,水2 水4,
鴨居,,月 木,金,火,水2 水4,
衣笠栄町,,月 木,金,火,水2 水4,
衣笠町,,月 木,金,火,水2 水4,
公郷町,,月 木,金,火,水2 水4,
光風台,,月 木,金,火,水2 水4,
小矢部,,月 木,金,火,水2 水4,
桜が丘,,月 木,金,火,水2 水4,
西浦賀,,月 木,金,火,水2 水4,
根岸町,,月 木,金,火,水2 水4,
走水,,月 木,金,火,水2 水4,
東浦賀,,月 木,金,火,水2 水4,
平作,,月 木,金,火,水2 水4,
二葉,,月 木,金,火,水2 水4,
舟倉2丁目,,月 木,金,火,水2 水4,
馬堀海岸,,月 木,金,火,水2 水4,
馬堀町,,月 木,金,火,水2 水4,
南浦賀,,月 木,金,火,水2 水4,
森崎,,月 木,金,火,水2 水4,
山中町,,月 木,金,火,水2 水4,
吉井,,月 木,金,火,水2 水4,
秋谷,,火 金,水,木,月1 月3,
芦名,,火 金,水,木,月1 月3,
粟田,,火 金,水,木,月1 月3,
岩戸,,火 金,水,木,月1 月3,
内川,,火 金,水,木,月1 月3,
内川新田,,火 金,水,木,月1 月3,
太田和,,火 金,水,木,月1 月3,
荻野,,火 金,水,木,月1 月3,
久比里,,火 金,水,木,月1 月3,
久村,,火 金,水,木,月1 月3,
久里浜,,火 金,水,木,月1 月3,
久里浜台,,火 金,水,木,月1 月3,
グリーンハイツ,,火 金,水,木,月1 月3,
子安,,火 金,水,木,月1 月3,
佐島,,火 金,水,木,月1 月3,
佐島の丘,,火 金,水,木,月1 月3,
佐原,,火 金,水,木,月1 月3,
湘南国際村,,火 金,水,木,月1 月3,
神明町,,火 金,水,木,月1 月3,
須軽谷,,火 金,水,木,月1 月3,
武,,火 金,水,木,月1 月3,
津久井,,火 金,水,木,月1 月3,
長井,,火 金,水,木,月1 月3,
長坂,,火 金,水,木,月1 月3,
長沢,,火 金,水,木,月1 月3,
長瀬,,火 金,水,木,月1 月3,
野比,,火 金,水,木,月1 月3,
ハイランド,,火 金,水,木,月1 月3,
林,,火 金,水,木,月1 月3,
光の丘,,火 金,水,木,月1 月3,
舟倉(舟倉2丁目以外),,火 金,水,木,月1 月3,
御幸浜,,火 金,水,木,月1 月3,
山科台,,火 金,水,木,月1 月3,
若宮台,,火 金,水,木,月1 月3,
